Researcher,Affiliation,Companies
"Acinas, Silvia G.","Departament de Biologia Marina i Oceanografia, Institut de Ciències del Mar, ICM-CSIC, 08003 Barcelona, Catalunya, Spain","['European Commission [Unknown]', 'H2020 Marie Sklodowska-Curie Actions [Unknown]', 'Ministerio de Ciencia e Innovaci?n [Unknown]', 'Ministerio de Econom?a y Competitividad [Unknown]', 'H2020 Marie Sklodowska-Curie Actions [Unknown]', 'U.S. Department of Energy [Government]', 'HORIZON EUROPE Climate, Energy and Mobility [Unknown]']"
"Acir, Ismail-Hakki","Institute of Energy and Climate Research, IEK-8: Troposphere, Forschungszentrum Jülich, Jülich 52425, Germany","['Science and Technology Commission of Shanghai Municipality [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
"Ackerman, Joe N.","Department of Biosystems Engineering, University of Manitoba, Winnipeg, Canada",['Not Found [Unknown]']
"Ackerman, Joshua T.","U.S. Geological Survey, Western Ecological Research Center, Dixon Field Station, Dixon, California 95620, United States of America","['Earl H. and Ethel M. Myers Oceanographic and Marine Biology Trust [Foundation]', 'Office of Naval Research [Unknown]', 'University of California [University]', 'U.S. Department of Defense [Government]', 'U.S. Geological Survey [Unknown]', 'Achievement Rewards for College Scientists Foundation [Foundation]', 'Friends of Long Marine Lab [Unknown]']"
"Ackerman, Joshua T.","United States Geological Survey, Western Ecological Research Center, Dixon, California 95620, United States","['National Park Service [Unknown]', 'National Park Foundation [Foundation]', 'U.S. Geological Survey [Unknown]']"
"Ackerman, Joshua T.","Western Ecological Research Center, U.S. Geological Survey, Dixon Field Station, Dixon 95620, California, United States","['Agence Nationale de la Recherche [Unknown]', 'Division of Earth Sciences [Unknown]', 'U.S. Geological Survey [Unknown]', 'Institut Universitaire de France [University]']"
"Ackermann, Gail","Department of Pediatrics, University of California, San Diego, La Jolla, California 92093, United States","['University of California, San Diego [University]', 'Deutsche Forschungsgemeinschaft [Unknown]']"
"Ackley, Robert","Gas Safety Inc., Southborough, Massachusetts 01772, United States","['Barr Foundation [Foundation]', 'Putnam Foundation [Foundation]']"
"Ackley, Robert","Gas Safety, Inc., Southborough, Massachusetts, United States","['Barr Foundation [Foundation]', 'U.S. Small Business Administration [Unknown]', 'Hideo Sasaki Foundation [Foundation]', 'University of British Columbia [University]', 'Metropolitan Area Planning Center [Unknown]', 'Pipeline Hazardous Safety Administration [Unknown]', 'E4rtheFuture [Unknown]', 'Putnam Foundation [Foundation]', 'Mothers Out Front [Unknown]']"
"Acosta, Jesse D.","Department of Natural Resources Management & Environmental Sciences, California Polytechnic State University, San Luis Obispo, California 93407, United States","['Stanford Woods Institute for the Environment [Unknown]', 'Eastman Kodak [Unknown]', 'National Science Foundation [Foundation]']"
"Acquah, Sarah","DOE Center for Advanced Bioenergy and Bioproducts Innovation, University of Illinois at Urbana−Champaign, 1206 West Gregory Drive, Urbana, Illinois 61801, United States","['U.S. Department of Energy [Government]', 'U.S. Department of Agriculture [Government]']"
"Acrey, Brad","Center for Environmental Measurement and Modeling, United States Environmental Protection Agency, Office of Research and Development, 960 College Station Road, Athens, Georgia 30605, United States",['Not Found [Unknown]']
"Actkinson, Blake","Civil and Environmental Engineering, Rice University, 6100 Main Street, Houston, Texas 77005, United States","['High Meadows Foundation [Foundation]', 'Valhalla Charitable Foundation [Foundation]']"
"Acuña, Shawn","Metropolitan Water District of Southern California, 1121 L Street, Suite 900, Sacramento, California 95814, United States","['National Aeronautics and Space Administration [Unknown]', 'California Department of Fish and Wildlife [Government]']"
"Adalibieke, Wulahati","College of Urban and Environmental Sciences, and Ministry of Education Laboratory for Earth Surface Processes, Peking University, Beijing 100871, PR China","['Peking University [University]', ""Ministry of Science and Technology of the People's Republic of China [Government]"", 'Chinese Academy of Agricultural Sciences [Unknown]', 'Natural Environment Research Council [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'UNCNET [Unknown]']"
"Adalibieke, Wulahati","Sino-France Institute of Earth Systems Science, Laboratory for Earth Surface Processes, College of Urban and Environmental Sciences, Peking University, Beijing 100871, PR China","['Chinese Academy of Fishery Sciences [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'S&T Program of Hebei [Unknown]', 'Ministry of Education Laboratory for Earth Surface Processes, Peking University [University]']"
"Adam, Max G.","NUS Environmental Research Institute, National University of Singapore, 117411, Singapore","['National Environment Agency - Singapore [Unknown]', 'National University of Singapore [University]']"
"Adam, Thomas W.","Joint Mass Spectrometry Centre (JMSC), Cooperation Group “Comprehensive Molecular Analytics″, Helmholtz Zentrum München, 85764 Neuherberg, Germany; Institute of Chemistry and Environmental Engineering, University of the Bundeswehr Munich, 85579 Neubiberg, Germany","['Helmholtz-Gemeinschaft [Unknown]', 'Deutsche Forschungsgemeinschaft [Unknown]', 'Bundesministerium f?r Wirtschaft und Klimaschutz [Unknown]']"
"Adamcakova-Dodd, Andrea",,"['National Institute of Environmental Health Sciences [University]', 'National Institute of Environmental Health Sciences [University]']"
"Adamcakova-Dodd, Andrea","Department of Occupational and Environmental Health, The University of Iowa, Iowa City, Iowa 52242, United States",['National Institute of Environmental Health Sciences [University]']
"Adamchak, Clifford","Department of Ecology & Evolutionary Biology, University of Colorado Boulder, Boulder, Colorado 80309-0216, United States; Cooperative Institute for Research in Environmental Sciences, University of Colorado Boulder, Boulder, Colorado 80309, United States","['Colorado Agricultural Experiment Station [Unknown]', 'University of Colorado Boulder [University]']"
"Adamcik, Jozef","Adolphe Merkle Institute, University of Fribourg, Chemin des Verdiers 4, 1700 Fribourg, Switzerland","['Schweizerischer Nationalfonds zur F?rderung der Wissenschaftlichen Forschung [Unknown]', 'Adolphe Merkle Foundation [Foundation]']"
"Adamczyk, Damian","Research Group of Sustainable Energy, Air and Water Technology, Department of Bioscience Engineering, University of Antwerp, Groenenborgerlaan 171, 2020 Antwerpen, Belgium","['H2020 Environment [Unknown]', 'Belgian Federal Science Policy Office [Unknown]', 'Vlaamse regering [Unknown]', 'Fonds Wetenschappelijk Onderzoek [Unknown]', 'Rosa Blanckaert Foundation [Foundation]', 'Department of Biotechnology, Technische Universiteit Delft [University]']"
"Adame, Maria Fernanda","Australian Rivers Institute, Centre for Marine and Coastal Research, Griffith University, Nathan, QLD 4111, Australia","['Deakin University [University]', 'Australian Research Council [Unknown]', 'Funda??o para a Ci?ncia e a Tecnologia [Unknown]']"
"Adamovsky, Ondrej","RECETOX, Faculty of Science, Masaryk University, Kotlářská 2, 602 00 Brno, Czech Republic","['Ministerstvo ?kolstv?, Ml?de?e a Telov?chovy [Unknown]', 'Horizon 2020 Framework Programme [Unknown]']"
"Adamovsky, Ondrej","Research Centre for Toxic Compounds in the Environment (RECETOX), Masaryk University, Kamenice 753/5, Brno, Czech Republic; Department of Physiological Sciences and Center for Environmental and Human Toxicology, UF Genetics Institute, College of Veterinary Medicine, University of Florida, Gainesville, Florida 32611, United States","['Ministerstvo ?kolstv?, Ml?de?e a Telov?chovy [Unknown]', 'H2020 Marie Sklodowska-Curie Actions [Unknown]', 'Vysok? Ucen? Technick? v Brne [Unknown]', 'Horizon 2020 Framework Programme [Unknown]']"
"Adams, Douglas H.","Cape Canaveral Scientific Inc., 220 Surf Road, Melbourne Beach, Florida 32951, United States",['Not Found [Unknown]']
"Adams, Hannah M.","Scripps Institution of Oceanography, University of California San Diego, La Jolla, California 92037, United States","['Division of Ocean Sciences [Unknown]', 'Division of Ocean Sciences [Unknown]']"
"Adams, Jennifer K.","Department of Earth Sciences, University of Toronto, 22 Ursula Franklin Street, Toronto, Ontario M5S 3B1, Canada","['Environment and Climate Change Canada [Unknown]', 'Crown-Indigenous Relations and Northern Affairs [Unknown]']"
"Adams, Jeremy David","Department of Chemical and Biomolecular Engineering, University of California, Berkeley, Berkeley, California 94720, United States",['Advanced Research Projects Agency - Energy [Unknown]']
"Adams, Kaley A.","Department of Environmental and Molecular Toxicology, Oregon State University, Corvallis, Oregon 97331, United States",['National Institute of Environmental Health Sciences [University]']
"Adams, Michael J.","U.S. Geological Survey, Forest and Rangeland Ecosystem Science Center, Corvallis, Oregon 97331 United States","['U.S. Geological Survey [Unknown]', 'Environmental Health Program [Unknown]']"
"Adams, Peter J.","Department of Civil and Environmental Engineering, Carnegie Mellon University, Pittsburgh, Pennsylvania 15213, United States","['U.S. Environmental Protection Agency [Government]', 'H2020 Health [Unknown]']"
"Adams, Peter J.","Department of Engineering & Public Policy, Carnegie Mellon University, Pittsburgh, PA 15213, United States; Department of Civil & Environmental Engineering, Carnegie Mellon University, Pittsburgh, PA 15213, United States","['Division of Social and Economic Sciences [Unknown]', 'U.S. Environmental Protection Agency [Government]', 'Division of Social and Economic Sciences [Unknown]', 'Division of Graduate Education [Unknown]', 'Carnegie Mellon University [University]', 'U.S. Environmental Protection Agency [Government]']"
"Adams, Peter","Center for Atmospheric Particle Studies, Carnegie Mellon University, 5000 Forbes Avenue, Pittsburgh, Pennsylvania 15213, United States; Department of Civil and Environmental Engineering, Carnegie Mellon University, 5000 Forbes Avenue, Pittsburgh, Pennsylvania 15213, United States; Department of Engineering and Public Policy, Carnegie Mellon University, 5000 Forbes Avenue, Pittsburgh, Pennsylvania 15213, United States","['Environmental Protection Agency [Government]', 'Division of Graduate Education [Unknown]', 'Carnegie Mellon University [University]', 'American Meteorological Society [Unknown]']"
"Adams, Thomas J.","School of Chemistry, University of Leicester, Leicester LE1 7RH, U.K.; Ricardo Energy & Environment, Harwell, Oxfordshire OX11 0QR, U.K.","['Natural Environment Research Council [Unknown]', 'H2020 European Research Council [Unknown]']"
"Adamson, David T.","GSI Environmental Inc., 2211 Norfolk Suite 1000, Houston, Texas 77098, United States","['U.S. Department of Defense [Government]', 'U.S. Navy [Unknown]', 'U.S. Department of Defense [Government]', 'Strategic Environmental Research and Development Program [Unknown]', 'U.S. Navy Environmental Sustainability Development to Integration Program [Unknown]', 'Environmental Security Technology Certification Program [Unknown]']"
"Adamu, D. A.",,['Not Found [Unknown]']
"Adcock, Karina E.","Centre for Oceanography and Atmospheric Science, School of Environmental Sciences, University of East Anglia, Norwich NR4 7TJ, U.K.","['Universiti Kebangsaan Malaysia [University]', 'Natural Environment Research Council [Unknown]', 'Academia Sinica [Unknown]', 'Ministry of Science and Technology, Taiwan [Government]', 'H2020 European Research Council [Unknown]']"
"Addison, Lindsay M.","Audubon North Carolina, Wilmington Coastal Office, Wilmington, North Carolina 28411, United States","['National Institute of Environmental Health Sciences [University]', 'Oak Ridge Institute for Science and Education [Unknown]', 'National Oceanic and Atmospheric Administration [Unknown]']"
"Addy-Orduna, Laura M.","Instituto Nacional de Tecnología Agropecuaria (INTA), Estación Experimental Agropecuaria Paraná, Ruta 11 km 12.5, 3100 Paraná, Entre Ríos, Argentina; Instituto de Investigación en Recursos Cinegéticos (IREC), CSIC-UCLM-JCCM, Ronda de Toledo 12, 13005 Ciudad Real, Spain","['Consejo Superior de Investigaciones Cient?ficas [Unknown]', 'Ministerio de Ciencia e Innovaci?n [Unknown]', 'Instituto Nacional de Tecnolog?a Agropecuaria [University]', 'Instituto de Investigaci?n en Recursos Cineg?ticos [University]', 'Agencia Estatal de Investigaci?n,Ministerio de Ciencia, Innovaci?n y Universidades [University]']"
"Adebayo, Busuyi O.","Department of Chemical & Biochemical Engineering, Missouri University of Science and Technology, 1101 N State Street, Rolla, Missouri 65409, United States","['Smart Living Signature Area, Missouri University of Science and Technology [University]', 'Center for Research on Energy and Environment, Missouri University of Science and Technology [University]']"
